crane_1497208220041_n_1_0_3609.wav, ,13,350, waiting,3242,3604, leaving,3604,3626, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208220041_n_1_0_3609.wav, ,15,350, waiting,3199,3562, leaving,3562,3583, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,5,50, waiting,3540,3604,4820,4884, leaving,3604,4692,4884,5076, didPass,0, detectionBtwn,0, detectionWhole,1535,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,7,50, waiting,3626,3690,4138,4202,4394,4458,4778,4842, leaving,3690,4010,4202,4266,4458,4650,4842,5034, didPass,0, detectionWhole,1407,,,,
crane_1497208242396_n_1_0_3609.wav, ,9,50, waiting,3583,3647,4351,4415,4863,4927, leaving,3647,3839,4415,4735,4927,4991, didPass,0, detectionWhole,1407,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,11,50, waiting,3540,3604,4308,4372, leaving,3604,3796,4372,4564, didPass,0, detectionBtwn,0, detectionWhole,1023,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,13,50, waiting,3626,3690,4394,4458, leaving,3690,3754,4458,4522, didPass,0, detectionBtwn,0, detectionWhole,895,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,15,50, waiting,3711,3775,4479,4543, leaving,3775,3839,4543,4607, didPass,0, detectionBtwn,0, detectionWhole,895,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,5,150, waiting,3540,3711,4820,4991, leaving,3711,4692,4991,5076, didPass,0, detectionBtwn,0, detectionWhole,1535,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,7,150, waiting,3626,3796,4394,4564,4778,4948, leaving,3796,4010,4138,4266,4564,4650,4948,5034, didPass,0, detectionWhole,1407,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,9,150, waiting,3583,3754,4351,4522, leaving,3754,3839,4522,4735,4863,4991, didPass,0, detectionBtwn,0, detectionWhole,1407,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,11,150, waiting,3540,3711,4308,4479, leaving,3711,3796,4479,4564, didPass,0, detectionBtwn,0, detectionWhole,1023,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,13,150, waiting, leaving,3626,3754,4394,4522, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,15,150, waiting, leaving,3711,3839,4479,4607, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,5,250, waiting,3540,3796, leaving,3796,4692,4820,5076, didPass,1, detectionWhole,1535,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,7,250, waiting,3626,3882, leaving,3882,4010,4138,4266,4394,4650,4778,5034, didPass,1, detectionWhole,1407,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,9,250, waiting,4351,4607, leaving,3583,3839,4607,4735,4863,4991, didPass,1, detectionWhole,639,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,11,250, waiting, leaving,3540,3796,4308,4564, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,13,250, waiting, leaving,3626,3754,4394,4522, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,15,250, waiting, leaving,3711,3839,4479,4607, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,5,350, waiting,3540,3903, leaving,3903,4692,4820,5076, didPass,1, detectionWhole,1535,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,7,350, waiting,3626,3988, leaving,3988,4010,4138,4266,4394,4650,4778,5034, didPass,1, detectionWhole,1407,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,9,350, waiting,4351,4714, leaving,3583,3839,4714,4735,4863,4991, didPass,1, detectionWhole,639,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,11,350, waiting, leaving,3540,3796,4308,4564, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,13,350, waiting, leaving,3626,3754,4394,4522, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208242396_n_1_0_3609.wav, ,15,350, waiting, leaving,3711,3839,4479,4607, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,5,50, waiting,3668,3732, leaving,3732,5716, didPass,1, detectionWhole,2047,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,7,50, waiting,3754,3818,4138,4202,4906,4970, leaving,3818,4010,4202,4522,4970,5418, didPass,0, detectionWhole,1663,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,9,50, waiting,3711,3775,4223,4287,4863,4927, leaving,3775,3967,4287,4479,4927,5119, didPass,0, detectionWhole,1407,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,11,50, waiting,3796,3860,4948,5012, leaving,3860,4052,5012,5076, didPass,0, detectionBtwn,0, detectionWhole,1279,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,13,50, waiting,3882,3946, leaving,3946,4010, didPass,1, detectionWhole,127,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,15,50, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,5,150, waiting,3668,3839, leaving,3839,5716, didPass,1, detectionWhole,2047,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,7,150, waiting,3754,3924,4138,4308,4906,5076, leaving,3924,4010,4308,4522,5076,5418, didPass,0, detectionWhole,1663,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,9,150, waiting,3711,3882,4223,4394,4863,5034, leaving,3882,3967,4394,4479,5034,5119, didPass,0, detectionWhole,1407,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,11,150, waiting,3796,3967, leaving,3967,4052,4948,5076, didPass,1, detectionWhole,1279,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,13,150, waiting, leaving,3882,4010, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,15,150, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,5,250, waiting,3668,3924, leaving,3924,5716, didPass,1, detectionWhole,2047,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,7,250, waiting,4138,4394,4906,5162, leaving,3754,4010,4394,4522,5162,5418, didPass,0, detectionBtwn,0, detectionWhole,1279,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,9,250, waiting, leaving,3711,3967,4223,4479,4863,5119, didPass,0,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,11,250, waiting, leaving,3796,4052,4948,5076, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,13,250, waiting, leaving,3882,4010, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,15,250, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,5,350, waiting,3668,4031, leaving,4031,5716, didPass,1, detectionWhole,2047,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,7,350, waiting,4138,4500,4906,5268, leaving,3754,4010,4500,4522,5268,5418, didPass,0, detectionBtwn,0, detectionWhole,1279,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,9,350, waiting, leaving,3711,3967,4223,4479,4863,5119, didPass,0,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,11,350, waiting, leaving,3796,4052,4948,5076, didPass,0,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,13,350, waiting, leaving,3882,4010, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208269013_n_1_0_3609.wav, ,15,350, waiting, leaving, didPass,0,,,,,,,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,5,50, waiting,3540,3604,3796,3860,5332,5396,5588,5652, leaving,3604,3668,3860,4692,5396,5460,5652,5716, didPass,0, detectionWhole,2175,,,,
crane_1497208313810_n_1_0_3609.wav, ,7,50, waiting,4010,4074, leaving,4074,4650, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,9,50, waiting,3967,4031,4223,4287, leaving,4031,4095,4287,4607, didPass,0, detectionBtwn,0, detectionWhole,639,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,11,50, waiting,4308,4372, leaving,4372,4692, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,13,50, waiting,4266,4330, leaving,4330,4522, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,15,50, waiting,4351,4415, leaving,4415,4607, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,5,150, waiting,3796,3967, leaving,3540,3668,3967,4692,5332,5460,5588,5716, didPass,1, detectionWhole,1919,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,7,150, waiting,4010,4180, leaving,4180,4650, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,9,150, waiting,4223,4394, leaving,3967,4095,4394,4607, didPass,1, detectionWhole,383,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,11,150, waiting,4308,4479, leaving,4479,4692, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,13,150, waiting,4266,4436, leaving,4436,4522, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,15,150, waiting,4351,4522, leaving,4522,4607, didPass,1, detectionWhole,255,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,5,250, waiting,3796,4052, leaving,3540,3668,4052,4692,5332,5460,5588,5716, didPass,1, detectionWhole,1919,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,7,250, waiting,4010,4266, leaving,4266,4650, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,9,250, waiting,4223,4479, leaving,3967,4095,4479,4607, didPass,1, detectionWhole,383,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,11,250, waiting,4308,4564, leaving,4564,4692, didPass,1, detectionWhole,383,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,13,250, waiting, leaving,4266,4522, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,15,250, waiting, leaving,4351,4607, didPass,0,,,,,,,,,,,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,5,350, waiting,3796,4159, leaving,3540,3668,4159,4692,5332,5460,5588,5716, didPass,1, detectionWhole,1919,,,,,,,,,,
crane_1497208313810_n_1_0_3609.wav, ,7,350, waiting,4010,4372, leaving,4372,4650, didPass,1, detectionWhole,639,,,,,,,,,,,,,,,,
